first_number,second_number,result,difficulty,operation
14,7,2,1,division
21,7,3,1,division
28,7,4,1,division
35,7,5,1,division
40,8,5,1,division
12,6,2,1,division
18,6,3,1,division
24,4,6,1,division
30,5,6,1,division
36,6,6,1,division
202,2,101,1,division
32,8,4,1,division
27,3,9,1,division
16,8,2,1,division
10,2,5,1,division
6,2,3,1,division
8,4,2,1,division
16,2,8,1,division
9,3,3,1,division
4,2,2,1,division
18,9,2,1,division
5620,10,562,1,division
2140,10,214,1,division
9820,982,10,1,division
5230,10,523,1,division
9170,10,917,1,division
1790,179,10,1,division
1450,145,10,1,division
88,2,44,1,division
2900,29,100,1,division
120,2,60,1,division
610,61,10,1,division
50,2,25,1,division
44,22,2,1,division
42,21,2,1,division
82,41,2,1,division
590,10,59,1,division
610,10,61,1,division
690,69,10,1,division
8180,10,818,1,division
1300,13,100,1,division
100,4,25,1,division
100,2,50,1,division
44,4,11,1,division
55,11,5,1,division
99,9,11,1,division
110,11,10,1,division
77,7,11,1,division
7280,10,728,1,division
2680,268,10,1,division
45,5,9,1,division
42,6,7,2,division
36,9,4,2,division
56,7,8,2,division
63,9,7,2,division
64,8,8,2,division
48,8,6,2,division
49,7,7,2,division
72,9,8,2,division
54,9,6,2,division
63,7,9,2,division
36,12,3,2,division
48,4,12,2,division
60,5,12,2,division
420,6,70,2,division
45,3,15,2,division
60,4,15,2,division
34,17,2,2,division
36,18,2,2,division
160,8,20,2,division
84,4,21,2,division
75,3,25,2,division
52,26,2,2,division
210,7,30,2,division
9900,3300,3,2,division
1800,2,900,2,division
306,3,102,2,division
8800,8,1100,2,division
404,4,101,2,division
63,21,3,2,division
644,2,322,2,division
6880,20,344,2,division
39,3,13,2,division
70,14,5,2,division
903,3,301,2,division
740,370,2,2,division
9090,9,1010,2,division
520,260,2,2,division
3600,9,400,2,division
639,3,213,2,division
8800,4,2200,2,division
2640,20,132,2,division
2880,2,1440,2,division
3096,3,1032,2,division
58,29,2,2,division
490,7,70,2,division
290,2,145,2,division
318,3,106,2,division
960,480,2,2,division
240,80,3,2,division
65,5,13,3,division
78,6,13,3,division
91,7,13,3,division
42,14,3,3,division
56,4,14,3,division
70,5,14,3,division
84,6,14,3,division
105,5,21,3,division
90,15,6,3,division
48,16,3,3,division
64,4,16,3,division
96,6,16,3,division
51,3,17,3,division
68,4,17,3,division
54,18,3,3,division
72,4,18,3,division
90,5,18,3,division
130,5,26,3,division
140,5,28,3,division
1240,2,620,3,division
8600,4,2150,3,division
126,6,21,3,division
816,4,204,3,division
438,2,219,3,division
3720,20,186,3,division
8400,6,1400,3,division
3200,1600,2,3,division
3260,2,1630,3,division
7900,2,3950,3,division
112,4,28,3,division
460,5,92,4,division
8100,5,1620,4,division
2200,5,440,4,division
75,15,5,4,division
57,19,3,4,division
840,3,280,4,division
5400,1800,3,4,division
8500,1700,5,4,division
450,6,75,4,division
1004,4,251,4,division
9920,20,496,4,division
3780,20,189,4,division
3300,6,550,4,division
260,5,52,4,division
9320,20,466,4,division
4900,50,98,4,division
340,5,68,4,division
640,5,128,4,division
4400,5,880,4,division
192,4,48,4,division
3620,20,181,4,division
8400,50,168,4,division
6400,4,1600,4,division
3081,3,1027,4,division
620,5,124,4,division
4600,50,92,4,division
1036,4,259,4,division
2600,5,520,4,division
2200,5,440,4,division
7800,1300,6,5,division
768,4,192,5,division
1035,3,345,5,division
1044,3,348,5,division
7500,60,125,5,division
564,4,141,5,division
680,5,136,5,division
1800,40,45,5,division
1023,3,341,5,division
7300,5,1460,5,division
544,4,136,5,division
7800,3,2600,5,division
6870,3,2290,5,division
8960,2,4480,5,division
9480,30,316,5,division
3072,3,1024,5,division
376,4,94,5,division
1095,3,365,5,division
981,3,327,5,division
5600,1400,4,4,division
368,4,92,5,division
968,4,242,5,division
136,8,17,5,division
153,9,17,5,division
108,6,18,5,division
132,6,22,5,division
161,7,23,5,division
144,6,24,5,division
225,9,25,5,division
261,9,29,5,division
7680,8,960,6,division
1710,9,190,6,division
5160,40,129,6,division
2240,8,280,6,division
544,8,68,6,division
7650,9,850,6,division
8340,6,1390,6,division
3950,5,790,6,division
3072,4,768,6,division
402,6,67,6,division
658,7,94,6,division
9160,20,458,6,division
5320,7,760,6,division
9750,5,1950,6,division
222,6,37,6,division
7920,4,1980,6,division
924,7,132,6,division
324,6,54,6,division
9360,60,156,6,division
936,8,117,6,division
7096,4,1774,7,division
5004,3,1668,7,division
4032,3,1344,7,division
9360,4,2340,7,division
5160,30,172,7,division
9780,6,1630,7,division
8580,6,1430,7,division
9660,7,1380,7,division
7044,3,2348,7,division
8064,3,2688,7,division
4077,3,1359,7,division
9550,5,1910,7,division
6160,4,1540,6,division
10,6,60,1,multiplication
10,70,700,1,multiplication
10,9,90,1,multiplication
11,2,22,1,multiplication
111,7,777,1,multiplication
11,4,44,1,multiplication
10,33,330,1,multiplication
35,2,70,1,multiplication
29,10,290,1,multiplication
2,2,4,1,multiplication
2,3,6,1,multiplication
2,4,8,1,multiplication
2,5,10,1,multiplication
2,6,12,1,multiplication
2,7,14,1,multiplication
2,8,16,1,multiplication
2,9,18,1,multiplication
3,3,9,1,multiplication
3,4,12,1,multiplication
3,5,15,1,multiplication
3,6,18,1,multiplication
3,7,21,1,multiplication
3,8,24,1,multiplication
3,9,27,1,multiplication
4,4,16,1,multiplication
4,5,20,1,multiplication
5,6,30,1,multiplication
5,7,35,1,multiplication
5,8,40,1,multiplication
5,9,45,1,multiplication
20,4,80,1,multiplication
20,5,100,1,multiplication
50,2,100,1,multiplication
60,2,120,1,multiplication
350,2,700,1,multiplication
200,4,800,1,multiplication
45,2,90,1,multiplication
12,10,120,1,multiplication
100,10,1000,1,multiplication
3,30,90,1,multiplication
2,25,50,1,multiplication
150,2,300,1,multiplication
4,50,200,1,multiplication
80,2,160,1,multiplication
22,2,44,1,multiplication
13,2,26,1,multiplication
24,2,48,1,multiplication
14,2,28,1,multiplication
31,2,62,1,multiplication
42,2,84,1,multiplication
201,6,1206,2,multiplication
501,2,1002,2,multiplication
6,4,24,2,multiplication
4,7,28,2,multiplication
4,8,32,2,multiplication
6,8,48,2,multiplication
6,9,54,2,multiplication
7,7,49,2,multiplication
7,8,56,2,multiplication
7,9,63,2,multiplication
8,6,48,2,multiplication
8,7,56,2,multiplication
8,8,64,2,multiplication
8,9,72,2,multiplication
9,6,54,2,multiplication
9,7,63,2,multiplication
9,8,72,2,multiplication
9,9,81,2,multiplication
22,5,110,2,multiplication
205,4,820,2,multiplication
205,5,1025,2,multiplication
51,5,255,2,multiplication
207,3,621,2,multiplication
204,4,828,2,multiplication
220,4,880,2,multiplication
301,9,2709,2,multiplication
905,2,1810,2,multiplication
112,3,336,2,multiplication
516,2,1032,2,multiplication
604,5,3020,2,multiplication
520,4,2080,2,multiplication
801,3,2403,2,multiplication
808,5,4040,2,multiplication
134,2,268,2,multiplication
1004,5,5020,2,multiplication
803,3,2409,2,multiplication
12,5,60,2,multiplication
15,3,45,2,multiplication
21,4,84,2,multiplication
21,5,105,2,multiplication
21,9,189,2,multiplication
23,3,69,2,multiplication
21,6,126,2,multiplication
81,7,567,3,multiplication
80,7,560,2,multiplication
80,4,320,2,multiplication
70,90,6300,2,multiplication
70,60,4200,2,multiplication
90,80,7200,2,multiplication
6,70,420,2,multiplication
23,4,92,3,multiplication
22,7,154,3,multiplication
22,8,176,3,multiplication
22,9,198,3,multiplication
16,4,64,3,multiplication
16,5,80,3,multiplication
17,2,34,3,multiplication
17,3,51,3,multiplication
17,4,68,3,multiplication
51,9,459,3,multiplication
52,3,156,3,multiplication
63,5,315,3,multiplication
64,3,192,3,multiplication
310,4,1240,3,multiplication
210,5,1050,3,multiplication
130,8,1040,3,multiplication
126,3,378,3,multiplication
126,5,630,3,multiplication
12,9,108,3,multiplication
13,8,104,3,multiplication
13,9,117,3,multiplication
42,8,336,3,multiplication
25,8,200,3,multiplication
26,6,156,3,multiplication
23,8,184,3,multiplication
24,6,144,3,multiplication
36,3,108,3,multiplication
121,7,847,3,multiplication
123,3,369,3,multiplication
124,4,496,3,multiplication
129,3,387,4,multiplication
131,6,786,4,multiplication
131,7,917,4,multiplication
98,7,686,4,multiplication
114,7,798,4,multiplication
146,6,876,4,multiplication
157,6,942,4,multiplication
177,5,885,4,multiplication
179,3,537,4,multiplication
156,8,1248,4,multiplication
162,7,1134,4,multiplication
74,9,666,4,multiplication
87,8,696,4,multiplication
83,8,664,4,multiplication
83,9,747,4,multiplication
87,9,783,4,multiplication
84,7,588,4,multiplication
88,9,792,4,multiplication
86,9,774,4,multiplication
89,9,801,5,multiplication
79,9,711,5,multiplication
96,6,576,4,multiplication
96,7,672,4,multiplication
97,7,679,4,multiplication
76,6,456,4,multiplication
76,9,684,4,multiplication
115,8,920,4,multiplication
121,9,1089,4,multiplication
124,6,744,4,multiplication
131,8,1048,4,multiplication
131,9,1179,4,multiplication
143,7,1001,5,multiplication
143,9,1287,5,multiplication
144,8,1152,5,multiplication
146,8,1168,5,multiplication
146,9,1314,5,multiplication
147,7,1029,5,multiplication
147,9,1323,5,multiplication
148,7,1036,5,multiplication
148,8,1184,5,multiplication
126,9,1134,5,multiplication
149,7,1043,5,multiplication
136,8,1088,5,multiplication
132,8,1056,5,multiplication
152,7,1064,5,multiplication
135,8,1080,5,multiplication
135,9,1215,5,multiplication
136,6,816,5,multiplication
116,9,1044,5,multiplication
16,81,1296,5,multiplication
17,17,289,5,multiplication
15,86,1290,5,multiplication
22,28,616,5,multiplication
14,52,728,5,multiplication
999,6,5994,4,multiplication
777,6,4662,5,multiplication
123,9,1107,5,multiplication
152,9,1368,5,multiplication
166,7,1162,5,multiplication
148,8,1184,5,multiplication
174,7,1218,6,multiplication
174,8,1392,6,multiplication
169,6,1014,6,multiplication
169,7,1183,6,multiplication
169,9,1521,6,multiplication
164,8,1312,6,multiplication
167,6,1002,6,multiplication
667,6,4002,6,multiplication
668,6,4008,6,multiplication
669,6,4014,6,multiplication
267,8,2136,6,multiplication
267,9,2403,6,multiplication
175,7,1225,6,multiplication
55,62,3410,6,multiplication
53,42,2226,6,multiplication
51,84,4284,6,multiplication
76,21,1596,6,multiplication
62,53,2288,6,multiplication
42,45,1890,6,multiplication
82,52,4264,6,multiplication
764,8,6112,7,multiplication
789,9,7101,7,multiplication
858,7,6006,7,multiplication
879,8,7032,7,multiplication
58,49,2842,7,multiplication
81,63,5103,7,multiplication
84,29,2436,7,multiplication
93,37,3441,7,multiplication
67,63,4221,7,multiplication
88,65,5720,7,multiplication
76,89,6764,7,multiplication
69,88,6072,7,multiplication
76,79,6004,7,multiplication
572,8,580,1,addition
15,15,30,1,addition
2,23,25,1,addition
4,15,19,1,addition
7,22,29,1,addition
12,2,14,1,addition
50,47,97,1,addition
10,81,91,1,addition
4,4,8,1,addition
10,25,35,1,addition
20,59,79,1,addition
30,26,56,1,addition
33,22,55,1,addition
70,14,84,1,addition
22,11,33,1,addition
14,16,30,1,addition
2,3,5,1,addition
4,5,9,1,addition
2,8,10,1,addition
6,3,9,1,addition
12,7,19,1,addition
4,6,10,1,addition
6,6,12,1,addition
7,7,14,1,addition
8,8,16,1,addition
7,8,15,1,addition
9,3,12,1,addition
9,5,14,1,addition
9,7,16,1,addition
9,9,18,1,addition
50,47,97,1,addition
3,3,6,1,addition
3,4,7,1,addition
45,6,51,1,addition
32,7,39,1,addition
90,3,93,1,addition
12,12,24,1,addition
22,44,66,1,addition
21,30,51,1,addition
78,20,98,1,addition
14,12,26,1,addition
43,6,49,1,addition
74,3,77,1,addition
82,5,87,1,addition
8,5,13,1,addition
8,4,12,1,addition
3,8,11,1,addition
7,4,11,1,addition
7,5,12,1,addition
7,6,13,1,addition
62,91,153,2,addition
19,64,83,2,addition
72,73,145,2,addition
85,42,127,2,addition
86,52,138,2,addition
53,72,125,2,addition
21,93,114,2,addition
29,14,43,2,addition
74,93,167,2,addition
33,72,105,2,addition
67,51,118,2,addition
76,41,117,2,addition
14,77,91,2,addition
52,65,117,2,addition
71,72,143,2,addition
653,21,674,2,addition
507,421,928,2,addition
66,81,147,2,addition
84,53,137,2,addition
83,43,126,2,addition
52,94,146,2,addition
14,37,51,2,addition
96,82,178,2,addition
491,30,521,2,addition
86,23,109,2,addition
19,62,81,2,addition
81,97,178,2,addition
45,45,90,2,addition
82,81,163,2,addition
94,52,146,2,addition
91,67,158,2,addition
92,97,189,2,addition
19,56,75,2,addition
77,42,119,2,addition
83,22,105,2,addition
91,81,172,2,addition
91,84,175,2,addition
73,36,109,2,addition
81,37,118,2,addition
29,91,120,2,addition
74,28,102,2,addition
32,49,81,2,addition
33,29,62,2,addition
28,92,120,2,addition
24,67,91,2,addition
31,69,100,2,addition
93,27,120,2,addition
44,96,140,2,addition
48,29,77,2,addition
28,65,93,2,addition
65,78,143,3,addition
64,48,112,3,addition
79,89,168,3,addition
57,87,144,3,addition
85,26,111,3,addition
30497,73,30570,3,addition
80578,35,80613,3,addition
96345,28,96373,3,addition
28884,77,28961,3,addition
85,78,163,3,addition
44,69,113,3,addition
49,94,143,3,addition
75573,31,75604,3,addition
49,97,146,3,addition
6053,92,6145,3,addition
93,28,121,3,addition
36490,59,36549,3,addition
93,68,161,3,addition
5733,39,5772,3,addition
76,97,173,3,addition
139,504,643,3,addition
42370,46,42416,3,addition
2255,54,2309,3,addition
81180,49,81229,3,addition
34171,223,34394,3,addition
36403,2056,38459,3,addition
91180,74,91254,3,addition
98,38,136,3,addition
42,89,131,3,addition
66342,116,66458,3,addition
559,75,634,4,addition
3253,84,3337,4,addition
9832,260,10092,4,addition
4173,283,4456,4,addition
50063,367,50430,4,addition
2317,6469,8786,4,addition
46271,2171,48442,4,addition
76409,138,76547,4,addition
1270,643,1913,4,addition
5241,449,5690,4,addition
561,184,745,4,addition
118,297,415,4,addition
6273,641,6914,4,addition
8159,333,8492,4,addition
7227,717,7944,4,addition
3416,268,3684,4,addition
8092,859,8951,4,addition
8472,191,8663,4,addition
90599,411,91010,4,addition
60559,406,60965,4,addition
8048,888,8936,4,addition
1559,145,1704,4,addition
7069,557,7626,4,addition
10397,780,11177,4,addition
84178,8210,92388,4,addition
91555,932,92487,4,addition
6580,422,7002,4,addition
1735,570,2305,4,addition
18190,730,18920,4,addition
62809,946,63755,5,addition
5726,949,6675,5,addition
66503,968,67471,5,addition
63432,932,64364,5,addition
99404,684,100088,5,addition
38806,228,39034,5,addition
25317,805,26122,5,addition
32741,1351,34092,5,addition
44501,8461,52962,5,addition
84294,522,84816,5,addition
28912,1210,30122,5,addition
72813,4246,77059,5,addition
67296,213,67509,3,addition
31647,2332,33979,5,addition
91960,5911,97871,5,addition
92275,5902,98177,5,addition
32174,3608,35782,5,addition
2098,1413,3511,5,addition
25485,223,25708,5,addition
89560,1902,91462,5,addition
16841,2907,19748,5,addition
22207,9340,31547,5,addition
36643,284,36927,5,addition
71852,2323,74175,5,addition
88141,598,88739,5,addition
43418,2476,45894,5,addition
70896,471,71367,5,addition
90291,6813,97104,5,addition
45458,9601,55059,6,addition
16699,408,17107,6,addition
47793,427,48220,6,addition
19272,7084,26356,6,addition
88384,397,88781,6,addition
67645,935,68580,6,addition
52515,936,53451,6,addition
80995,2806,83801,6,addition
54353,874,55227,6,addition
44972,641,45613,6,addition
66898,615,67513,6,addition
2569,647,3216,6,addition
14598,456,15054,6,addition
33469,648,34117,6,addition
32884,1485,34369,6,addition
79997,961,80958,6,addition
19565,822,20387,6,addition
20174,9248,29422,6,addition
38047,9636,47683,6,addition
17435,3256,20691,6,addition
27236,4254,31490,6,addition
966,7764,8730,6,addition
4494,4980,9474,6,addition
46962,25235,72197,7,addition
79582,46705,126287,7,addition
85811,71775,157586,7,addition
57487,749,58236,7,addition
85395,7459,92854,7,addition
26439,6273,32712,7,addition
71136,93925,165061,7,addition
17640,3798,21438,7,addition
19445,7662,27107,7,addition
32463,45187,77650,7,addition
71488,9829,81317,7,addition
13374,9443,22817,7,addition
13754,5975,19729,7,addition
76892,81479,158371,8,addition
74733,32487,107220,8,addition
65935,66749,132684,8,addition
69524,55546,125070,8,addition
35767,86692,122459,8,addition
45498,18739,64237,8,addition
79195,58850,138045,8,addition
86785,66682,153467,8,addition
84181,52969,137150,8,addition
55786,28477,84263,8,addition
64884,68809,133693,8,addition
96488,83349,179837,8,addition
26713,94947,121660,8,addition
7,5,2,1,subtraction
17,12,5,1,subtraction
8,2,6,1,subtraction
8,3,5,1,subtraction
8,4,4,1,subtraction
18,15,3,1,subtraction
9,6,3,1,subtraction
19,17,2,1,subtraction
95,3,92,1,subtraction
76,5,71,1,subtraction
55,4,51,1,subtraction
46,2,44,1,subtraction
74,2,72,1,subtraction
43,3,40,1,subtraction
10,7,3,1,subtraction
10,3,7,1,subtraction
10,4,6,1,subtraction
6,4,2,1,subtraction
69,10,59,1,subtraction
70,10,60,1,subtraction
71,10,61,1,subtraction
32,20,12,1,subtraction
26,20,6,1,subtraction
30,15,15,1,subtraction
100,50,50,1,subtraction
50,25,25,1,subtraction
75,25,50,1,subtraction
1000,250,750,1,subtraction
2000,1000,1000,1,subtraction
100,90,10,1,subtraction
70,35,35,1,subtraction
63,10,53,1,subtraction
27,7,20,1,subtraction
54,4,50,1,subtraction
35,4,31,1,subtraction
38,20,18,1,subtraction
45,20,25,1,subtraction
57,50,7,1,subtraction
700,500,200,1,subtraction
800,200,600,1,subtraction
66,61,5,1,subtraction
68,30,38,1,subtraction
22,12,10,1,subtraction
14,12,2,1,subtraction
73,60,13,1,subtraction
99,8,91,1,subtraction
420,20,400,1,subtraction
385,80,305,1,subtraction
660,60,600,1,subtraction
910,100,810,2,subtraction
87,4,83,2,subtraction
97,4,93,2,subtraction
99,5,94,2,subtraction
987,6,981,2,subtraction
215,9,206,2,subtraction
95,7,88,2,subtraction
743,4,739,2,subtraction
22,9,13,2,subtraction
91,6,85,2,subtraction
33,8,25,2,subtraction
61,7,54,2,subtraction
67,9,58,2,subtraction
7752,3011,4741,2,subtraction
5847,4003,1844,2,subtraction
93,5,88,2,subtraction
37,8,29,2,subtraction
55,8,47,2,subtraction
46,9,37,2,subtraction
92,7,85,2,subtraction
73,14,59,2,subtraction
31,13,18,2,subtraction
32,15,17,2,subtraction
41,14,27,2,subtraction
511,5,506,2,subtraction
415,6,409,2,subtraction
96,7,89,2,subtraction
230,13,217,2,subtraction
80,12,68,2,subtraction
40,13,27,2,subtraction
31,14,17,2,subtraction
100,36,64,2,subtraction
100,43,57,2,subtraction
1000,560,440,2,subtraction
32,17,15,2,subtraction
60,11,49,2,subtraction
70,52,18,2,subtraction
100,62,38,2,subtraction
630,90,540,2,subtraction
4371,361,4010,2,subtraction
235,9,226,2,subtraction
76,9,67,2,subtraction
5846,1331,4515,2,subtraction
54,8,46,2,subtraction
640,90,550,2,subtraction
830,70,760,2,subtraction
800,170,630,2,subtraction
900,270,630,2,subtraction
50,17,33,2,subtraction
100,84,16,2,subtraction
70,28,42,2,subtraction
44,26,18,3,subtraction
373,325,48,3,subtraction
43,28,15,3,subtraction
233,226,7,3,subtraction
71,64,7,3,subtraction
97,59,38,3,subtraction
98,19,79,3,subtraction
497,448,49,3,subtraction
96,68,28,3,subtraction
596,559,37,3,subtraction
960,480,480,3,subtraction
940,770,170,3,subtraction
394,368,26,3,subtraction
930,240,690,3,subtraction
93,35,58,3,subtraction
94527,33100,61427,3,subtraction
16050,430,15620,3,subtraction
830,570,260,3,subtraction
81,24,57,3,subtraction
906,76,830,3,subtraction
770,380,390,3,subtraction
72,35,37,3,subtraction
808,58,750,3,subtraction
109,95,14,3,subtraction
610,20,590,3,subtraction
55,38,17,3,subtraction
470,290,180,3,subtraction
550,290,260,3,subtraction
85296,53121,32175,3,subtraction
6366,4316,2050,3,subtraction
381,109,272,4,subtraction
508,490,18,4,subtraction
666,180,486,4,subtraction
1308,601,707,4,subtraction
234,56,178,4,subtraction
203,19,184,4,subtraction
455,285,170,4,subtraction
524,182,342,4,subtraction
138,65,73,4,subtraction
648,77,571,4,subtraction
419,86,333,4,subtraction
11350,1322,10028,4,subtraction
758,76,682,4,subtraction
2818,2074,744,4,subtraction
465,92,373,4,subtraction
623,341,282,4,subtraction
841,797,44,4,subtraction
284,111,173,3,subtraction
919,139,780,4,subtraction
34031,94,33937,4,subtraction
33000,91,32909,4,subtraction
49320,34,49286,4,subtraction
1765,1185,580,4,subtraction
717,389,328,4,subtraction
687,298,389,4,subtraction
341,255,86,4,subtraction
812,43,769,4,subtraction
297,188,109,4,subtraction
825,676,149,4,subtraction
45369,980,44389,5,subtraction
3284,311,2973,5,subtraction
43067,637,42430,5,subtraction
78799,73043,5756,5,subtraction
17279,565,16714,5,subtraction
84597,864,83733,5,subtraction
32099,726,31373,5,subtraction
54425,7005,47420,5,subtraction
98741,1470,97271,5,subtraction
79457,1910,77547,5,subtraction
88166,4440,83726,5,subtraction
58657,24614,34043,5,subtraction
65889,62154,3735,5,subtraction
60785,4031,56754,5,subtraction
40979,1582,39397,5,subtraction
18807,10354,8453,5,subtraction
44931,1117,43814,5,subtraction
86849,4961,81888,6,subtraction
64584,4376,60208,5,subtraction
90899,2198,88701,5,subtraction
68067,84,67983,5,subtraction
64747,1834,62913,5,subtraction
9221,1307,7914,5,subtraction
56718,820,55898,5,subtraction
71141,297,70844,5,subtraction
42413,840,41573,5,subtraction
5144,478,4666,5,subtraction
80790,968,79822,6,subtraction
12031,5523,6508,6,subtraction
94822,31379,63443,6,subtraction
77834,41166,36668,6,subtraction
60886,51539,9347,6,subtraction
81517,43156,38361,6,subtraction
26660,25928,732,6,subtraction
50192,538,49654,6,subtraction
71064,4196,66868,6,subtraction
80262,2967,77295,6,subtraction
44178,34622,9556,6,subtraction
52786,39338,13448,6,subtraction
75318,21396,53922,6,subtraction
60737,25174,35563,6,subtraction
32985,29739,3246,6,subtraction
94905,76172,18733,6,subtraction
83973,38826,45147,6,subtraction
83799,67852,15947,6,subtraction
64526,2729,61797,6,subtraction
75032,2086,72946,6,subtraction
11152,9466,1686,6,subtraction
93684,9886,83798,6,subtraction
95512,7570,87942,6,subtraction
36025,7785,28240,7,subtraction
51184,1499,49685,7,subtraction
33145,2965,30180,7,subtraction
83118,77671,5447,7,subtraction
83970,78384,5586,7,subtraction
89130,64542,24588,7,subtraction
78350,47869,30481,7,subtraction
73077,44769,28308,7,subtraction
98535,68608,29927,7,subtraction
31900,15815,16085,7,subtraction
52579,22889,29690,7,subtraction
77016,38296,38720,7,subtraction
74712,46119,28593,7,subtraction
80417,50894,29523,7,subtraction
74138,44383,29755,7,subtraction
90081,75175,14906,7,subtraction
64804,27666,37138,7,subtraction
